Submit,Xác nhận,
Cancel,Hủy,
Amend,Sửa đổi,
Draft,Nháp,
Submitted,Đã xác nhận,
Cancelled,Đã hủy,
Save,Lưu,
Print,In,
Email,Gửi email,
Attach,Đính kèm,
Comment,Ghi chú,
Activity,Hoạt động,
Dashboard,Bảng tổng quan,
Report,Báo cáo,
Settings,Cài đặt,
User,Người dùng,
Role,Vai trò,
Permission,Phân quyền,
Workflow,Quy trình,
Notification,Thông báo,
Edit,Sửa,
Delete,Xóa,
New,Mới,
Add,Thêm,
Remove,Gỡ bỏ,
Update,Cập nhật,
Refresh,Làm mới,
Search,Tìm kiếm,
Filter,Bộ lọc,
Export,Xuất,
Import,Nhập,
Download,Tải xuống,
Upload,Tải lên,
Copy,Sao chép,
Paste,Dán,
Duplicate,Nhân bản,
Rename,Đổi tên,
Close,Đóng,
Open,Mở,
View,Xem,
Preview,Xem trước,
Yes,Có,
No,Không,
OK,Đồng ý,
Confirm,Xác nhận,
Warning,Cảnh báo,
Error,Lỗi,
Success,Thành công,
Info,Thông tin,
Please wait,Vui lòng chờ,
Loading,Đang tải,
Processing,Đang xử lý,
Saving,Đang lưu,
Saved,Đã lưu,
Unsaved,Chưa lưu,
Required,Bắt buộc,
Optional,Tùy chọn,
All,Tất cả,
None,Không có,
Other,Khác,
Name,Tên,
Title,Tiêu đề,
Description,Mô tả,
Date,Ngày,
Time,Thời gian,
From,Từ,
To,Đến,
Status,Trạng thái,
Type,Loại,
Category,Danh mục,
Group,Nhóm,
Tag,Thẻ,
Label,Nhãn,
Value,Giá trị,
Total,Tổng cộng,
Subtotal,Tổng phụ,
Amount,Số tiền,
Currency,Tiền tệ,
Quantity,Số lượng,
Price,Giá,
Rate,Đơn giá,
Discount,Chiết khấu,
Tax,Thuế,
Language,Ngôn ngữ,
Company,Công ty,
Country,Quốc gia,
Address,Địa chỉ,
Phone,Điện thoại,
Mobile,Di động,
Website,Website,
Chart of Accounts,Hệ thống tài khoản,
Account,Tài khoản,
Accounts,Tài khoản,
Journal Entry,Bút toán,
General Ledger,Sổ cái,
Trial Balance,Bảng cân đối phát sinh,
Balance Sheet,Bảng cân đối kế toán,
Profit and Loss Statement,Báo cáo kết quả kinh doanh,
Cash Flow Statement,Báo cáo lưu chuyển tiền tệ,
Accounts Receivable,Công nợ phải thu,
Accounts Payable,Công nợ phải trả,
Cost Center,Trung tâm chi phí,
Fiscal Year,Năm tài chính,
Accounting Period,Kỳ kế toán,
Payment Entry,Phiếu thu/chi,
Bank Reconciliation,Đối chiếu ngân hàng,
Tax Rule,Quy tắc thuế,
Invoice,Hóa đơn,
Invoice Number,Số hóa đơn,
Invoice Date,Ngày hóa đơn,
Due Date,Ngày đến hạn,
Posting Date,Ngày hạch toán,
Reference Date,Ngày tham chiếu,
Reference Number,Số tham chiếu,
Paid Amount,Số tiền đã thanh toán,
Outstanding Amount,Số tiền còn nợ,
Advance Amount,Số tiền tạm ứng,
Debit,Nợ,
Credit,Có,
Debit Note,Giấy báo nợ,
Credit Note,Giấy báo có,
Opening Balance,Số dư đầu kỳ,
Closing Balance,Số dư cuối kỳ,
Receivable,Phải thu,
Payable,Phải trả,
Cash,Tiền mặt,
Bank,Ngân hàng,
Bank Account,Tài khoản ngân hàng,
Bank Statement,Sao kê ngân hàng,
Asset,Tài sản,
Liability,Nợ phải trả,
Equity,Vốn chủ sở hữu,
Income,Doanh thu,
Expense,Chi phí,
Revenue,Doanh thu,
Profit,Lợi nhuận,
Loss,Lỗ,
Gross Profit,Lãi gộp,
Net Profit,Lãi ròng,
Fixed Asset,Tài sản cố định,
Depreciation,Khấu hao,
Accumulated Depreciation,Khấu hao lũy kế,
Stock,Hàng tồn kho,
Stock In Hand,Hàng tồn kho,
Cost of Goods Sold,Giá vốn hàng bán,
Round Off,Làm tròn,
Exchange Rate,Tỷ giá,
Exchange Gain/Loss,Chênh lệch tỷ giá,
Party,Đối tác,
Party Type,Loại đối tác,
Voucher Type,Loại chứng từ,
Voucher No,Số chứng từ,
Against,Đối ứng,
Transaction Date,Ngày giao dịch,
Transaction,Giao dịch,
Opening Entry,Bút toán khai báo,
Period Closing Entry,Bút toán kết chuyển,
Write Off,Xóa nợ,
Advance,Tạm ứng,
Reconcile,Đối chiếu,
Allocation,Phân bổ,
Payment Term,Điều khoản thanh toán,
Payment Schedule,Lịch thanh toán,
Mode of Payment,Hình thức thanh toán,
Tax Category,Danh mục thuế,
Tax Template,Mẫu thuế,
Tax Rate,Thuế suất,
VAT,Thuế GTGT,
Tax Code,Mã số thuế,
Tax ID,Mã số thuế,
Net Total,Tổng trước thuế,
Grand Total,Tổng cộng,
Total Taxes and Charges,Tổng thuế và phí,
Rounded Total,Tổng đã làm tròn,
In Words,Bằng chữ,
Against Account,Tài khoản đối ứng,
Account Type,Loại tài khoản,
Account Number,Số tài khoản,
Root Type,Loại gốc,
Is Group,Là nhóm,
Parent Account,Tài khoản cha,
Balance,Số dư,
Opening Date,Ngày khai báo,
Accounting Dimension,Chiều phân tích,
Budget,Ngân sách,
Budget Variance Report,Báo cáo biến động ngân sách,
